Date,Beer,DayOfWeek,UnitsSold,IsWeekend,HolidayEffect,PromoLevel
2021-01-13,IPA,2,35,0,0,0
2021-01-13,Stout,2,17,0,0,0
2021-01-13,Cider,2,32,0,0,0
2021-01-14,Ale,3,23,0,0,0
2021-01-14,Lager,3,41,0,0,0
2021-01-14,IPA,3,34,0,0,0
2021-01-14,Stout,3,16,0,0,0
2021-01-14,Cider,3,33,0,0,0
2021-01-15,Ale,4,32,0,0,0
2021-01-15,Lager,4,46,0,0,0
2021-01-15,IPA,4,32,0,0,0
2021-01-15,Stout,4,24,0,0,0
2021-01-15,Cider,4,38,0,0,0
2021-01-16,Ale,5,39,1,0,0
2021-01-16,Lager,5,59,1,0,0
2021-01-16,IPA,5,42,1,0,0
2021-01-16,Stout,5,31,1,0,0
2021-01-16,Cider,5,41,1,0,0
2021-01-17,Ale,6,33,1,0,0
2021-01-17,Lager,6,58,1,0,0
2021-01-17,IPA,6,55,1,0,0
2021-01-17,Stout,6,40,1,0,0
2021-01-17,Cider,6,34,1,0,0
2021-01-18,Ale,0,30,0,0,0
2021-01-18,Lager,0,43,0,0,0
2021-01-18,IPA,0,41,0,0,0
2021-01-18,Stout,0,21,0,0,0
2021-01-18,Cider,0,34,0,0,0
2021-01-19,Ale,1,25,0,0,0
2021-01-19,Lager,1,33,0,0,0
2021-01-19,IPA,1,38,0,0,0
2021-01-19,Stout,1,15,0,0,0
2021-01-19,Cider,1,33,0,0,0
2021-01-20,Ale,2,31,0,0,0
2021-01-20,Lager,2,35,0,0,0
2021-01-20,IPA,2,35,0,0,0
2021-01-20,Stout,2,24,0,0,0
2021-01-20,Cider,2,28,0,0,0
2021-01-21,Ale,3,38,0,0,0
2021-01-21,Lager,3,40,0,0,0
2021-01-21,IPA,3,30,0,0,0
2021-01-21,Stout,3,24,0,0,0
2021-01-21,Cider,3,29,0,0,0
2021-01-22,Ale,4,36,0,0,1
2021-01-22,Lager,4,49,0,0,1
2021-01-22,IPA,4,38,0,0,0
2021-01-22,Stout,4,21,0,0,1
2021-01-22,Cider,4,27,0,0,0
2021-01-23,Ale,5,48,1,0,1
2021-01-23,Lager,5,64,1,0,0
2021-01-23,IPA,5,54,1,0,0
2021-01-23,Stout,5,28,1,0,0
2021-01-23,Cider,5,37,1,0,0
2021-01-24,Ale,6,41,1,0,0
2021-01-24,Lager,6,57,1,0,0
2021-01-24,IPA,6,64,1,0,1
2021-01-24,Stout,6,35,1,0,0
2021-01-24,Cider,6,42,1,0,0
2021-01-25,Ale,0,26,0,0,0
2021-01-25,Lager,0,40,0,0,0
2021-01-25,IPA,0,35,0,0,0
2021-01-25,Stout,0,15,0,0,0
2021-01-25,Cider,0,21,0,0,0
2021-01-26,Ale,1,26,0,0,0
2021-01-26,Lager,1,35,0,0,0
2021-01-26,IPA,1,33,0,0,0
2021-01-26,Stout,1,22,0,0,0
2021-01-26,Cider,1,23,0,0,0
2021-01-27,Ale,2,36,0,0,0
2021-01-27,Lager,2,49,0,0,0
2021-01-27,IPA,2,35,0,0,0
2021-01-27,Stout,2,22,0,0,0
2021-01-27,Cider,2,27,0,0,0
2021-01-28,Ale,3,16,0,0,0
2021-01-28,Lager,3,36,0,0,0
2021-01-28,IPA,3,43,0,0,0
2021-01-28,Stout,3,21,0,0,0
2021-01-28,Cider,3,21,0,0,0
2021-01-29,Ale,4,26,0,0,0
2021-01-29,Lager,4,48,0,0,0
2021-01-29,IPA,4,31,0,0,0
2021-01-29,Stout,4,13,0,0,0
2021-01-29,Cider,4,28,0,0,0
2021-01-30,Ale,5,44,1,0,0
2021-01-30,Lager,5,49,1,0,0
2021-01-30,IPA,5,48,1,0,0
2021-01-30,Stout,5,35,1,0,0
2021-01-30,Cider,5,48,1,0,0
2021-01-31,Ale,6,35,1,0,0
2021-01-31,Lager,6,84,1,0,1
2021-01-31,IPA,6,47,1,0,0
2021-01-31,Stout,6,28,1,0,0
2021-01-31,Cider,6,45,1,0,1
2021-02-01,Ale,0,35,0,0,0
2021-02-01,Lager,0,49,0,0,0
2021-02-01,IPA,0,40,0,0,0
2021-02-01,Stout,0,27,0,0,1
2021-02-01,Cider,0,35,0,0,0
2021-02-02,Ale,1,25,0,0,0
2021-02-02,Lager,1,44,0,0,0
2021-02-02,IPA,1,42,0,0,0
2021-02-02,Stout,1,25,0,0,0
2021-02-02,Cider,1,37,0,0,0
2021-02-03,Ale,2,25,0,0,0
2021-02-03,Lager,2,50,0,0,1
2021-02-03,IPA,2,34,0,0,0
2021-02-03,Stout,2,30,0,0,0
2021-02-03,Cider,2,32,0,0,0
2021-02-04,Ale,3,28,0,0,0
2021-02-04,Lager,3,50,0,0,0
2021-02-04,IPA,3,39,0,0,0
2021-02-04,Stout,3,27,0,0,0
2021-02-04,Cider,3,43,0,0,1
2021-02-05,Ale,4,34,0,0,1
2021-02-05,Lager,4,69,0,0,1
2021-02-05,IPA,4,45,0,0,0
2021-02-05,Stout,4,29,0,0,0
2021-02-05,Cider,4,28,0,0,0
2021-02-06,Ale,5,36,1,0,0
2021-02-06,Lager,5,64,1,0,0
2021-02-06,IPA,5,54,1,0,0
2021-02-06,Stout,5,36,1,0,0
2021-02-06,Cider,5,51,1,0,0
2021-02-07,Ale,6,47,1,0,0
2021-02-07,Lager,6,62,1,0,0
2021-02-07,IPA,6,57,1,0,0
2021-02-07,Stout,6,37,1,0,0
2021-02-07,Cider,6,60,1,0,1
2021-02-08,Ale,0,34,0,0,1
2021-02-08,Lager,0,52,0,0,0
2021-02-08,IPA,0,30,0,0,0
2021-02-08,Stout,0,37,0,0,1
2021-02-08,Cider,0,32,0,0,0
2021-02-09,Ale,1,28,0,0,0
2021-02-09,Lager,1,52,0,0,0
2021-02-09,IPA,1,44,0,0,0
2021-02-09,Stout,1,22,0,0,1
2021-02-09,Cider,1,40,0,0,1
2021-02-10,Ale,2,29,0,0,0
2021-02-10,Lager,2,64,0,0,1
2021-02-10,IPA,2,42,0,0,0
2021-02-10,Stout,2,23,0,0,0
2021-02-10,Cider,2,32,0,0,0
2021-02-11,Ale,3,38,0,0,0
2021-02-11,Lager,3,45,0,0,0
2021-02-11,IPA,3,45,0,0,0
2021-02-11,Stout,3,22,0,0,0
2021-02-11,Cider,3,27,0,0,0
2021-02-12,Ale,4,19,0,0,0
2021-02-12,Lager,4,47,0,0,0
2021-02-12,IPA,4,43,0,0,0
2021-02-12,Stout,4,30,0,0,0
2021-02-12,Cider,4,44,0,0,1
2021-02-13,Ale,5,38,1,0,0
2021-02-13,Lager,5,85,1,0,1
2021-02-13,IPA,5,50,1,0,0
2021-02-13,Stout,5,43,1,0,1
2021-02-13,Cider,5,49,1,0,0
2021-02-14,Ale,6,39,1,0,0
2021-02-14,Lager,6,83,1,0,1
2021-02-14,IPA,6,63,1,0,0
2021-02-14,Stout,6,43,1,0,1
2021-02-14,Cider,6,46,1,0,0
2021-02-15,Ale,0,20,0,0,0
2021-02-15,Lager,0,52,0,0,1
2021-02-15,IPA,0,42,0,0,0
2021-02-15,Stout,0,18,0,0,0
2021-02-15,Cider,0,32,0,0,0
2021-02-16,Ale,1,29,0,0,0
2021-02-16,Lager,1,67,0,0,1
2021-02-16,IPA,1,45,0,0,0
2021-02-16,Stout,1,23,0,0,0
2021-02-16,Cider,1,41,0,0,0
2021-02-17,Ale,2,33,0,0,0
2021-02-17,Lager,2,37,0,0,0
2021-02-17,IPA,2,47,0,0,0
2021-02-17,Stout,2,30,0,0,1
2021-02-17,Cider,2,23,0,0,0
2021-02-18,Ale,3,33,0,0,0
2021-02-18,Lager,3,61,0,0,1
2021-02-18,IPA,3,40,0,0,0
2021-02-18,Stout,3,26,0,0,0
2021-02-18,Cider,3,34,0,0,0
2021-02-19,Ale,4,30,0,0,0
2021-02-19,Lager,4,45,0,0,0
2021-02-19,IPA,4,39,0,0,0
2021-02-19,Stout,4,17,0,0,0
2021-02-19,Cider,4,36,0,0,0
2021-02-20,Ale,5,62,1,0,1
2021-02-20,Lager,5,62,1,0,0
2021-02-20,IPA,5,52,1,0,0
2021-02-20,Stout,5,29,1,0,0
2021-02-20,Cider,5,41,1,0,0
2021-02-21,Ale,6,39,1,0,0
2021-02-21,Lager,6,63,1,0,0
2021-02-21,IPA,6,56,1,0,0
2021-02-21,Stout,6,36,1,0,0
2021-02-21,Cider,6,45,1,0,0
2021-02-22,Ale,0,26,0,0,0
2021-02-22,Lager,0,39,0,0,0
2021-02-22,IPA,0,37,0,0,0
2021-02-22,Stout,0,12,0,0,0
2021-02-22,Cider,0,38,0,0,0
2021-02-23,Ale,1,32,0,0,1
2021-02-23,Lager,1,41,0,0,0
2021-02-23,IPA,1,40,0,0,0
2021-02-23,Stout,1,18,0,0,0
2021-02-23,Cider,1,29,0,0,0
2021-02-24,Ale,2,23,0,0,0
2021-02-24,Lager,2,42,0,0,0
2021-02-24,IPA,2,41,0,0,0
2021-02-24,Stout,2,27,0,0,0
2021-02-24,Cider,2,30,0,0,0
2021-02-25,Ale,3,28,0,0,0
2021-02-25,Lager,3,43,0,0,0
2021-02-25,IPA,3,48,0,0,0
2021-02-25,Stout,3,29,0,0,0
2021-02-25,Cider,3,27,0,0,0
2021-02-26,Ale,4,28,0,0,0
2021-02-26,Lager,4,46,0,0,0
2021-02-26,IPA,4,37,0,0,0
2021-02-26,Stout,4,19,0,0,0
2021-02-26,Cider,4,30,0,0,0
2021-02-27,Ale,5,49,1,0,1
2021-02-27,Lager,5,51,1,0,0
2021-02-27,IPA,5,76,1,0,1
2021-02-27,Stout,5,34,1,0,0
2021-02-27,Cider,5,62,1,0,1
2021-02-28,Ale,6,36,1,0,0
2021-02-28,Lager,6,61,1,0,0
2021-02-28,IPA,6,83,1,0,1
2021-02-28,Stout,6,40,1,0,0
2021-02-28,Cider,6,45,1,0,0
2021-03-01,Ale,0,26,0,0,0
2021-03-01,Lager,0,48,0,0,0
2021-03-01,IPA,0,42,0,0,0
2021-03-01,Stout,0,19,0,0,0
2021-03-01,Cider,0,39,0,0,0
2021-03-02,Ale,1,30,0,0,0
2021-03-02,Lager,1,48,0,0,0
2021-03-02,IPA,1,41,0,0,0
2021-03-02,Stout,1,28,0,0,0
2021-03-02,Cider,1,34,0,0,0
2021-03-03,Ale,2,43,0,0,0
2021-03-03,Lager,2,51,0,0,0
2021-03-03,IPA,2,44,0,0,0
2021-03-03,Stout,2,27,0,0,0
2021-03-03,Cider,2,45,0,0,0
2021-03-04,Ale,3,28,0,0,0
2021-03-04,Lager,3,53,0,0,0
2021-03-04,IPA,3,46,0,0,0
2021-03-04,Stout,3,30,0,0,0
2021-03-04,Cider,3,36,0,0,0
2021-03-05,Ale,4,36,0,0,0
2021-03-05,Lager,4,47,0,0,0
2021-03-05,IPA,4,32,0,0,0
2021-03-05,Stout,4,17,0,0,0
2021-03-05,Cider,4,49,0,0,1
2021-03-06,Ale,5,48,1,0,0
2021-03-06,Lager,5,71,1,0,0
2021-03-06,IPA,5,62,1,0,0
2021-03-06,Stout,5,38,1,0,0
2021-03-06,Cider,5,55,1,0,0
2021-03-07,Ale,6,50,1,0,0
2021-03-07,Lager,6,89,1,0,1
2021-03-07,IPA,6,63,1,0,0
2021-03-07,Stout,6,42,1,0,0
2021-03-07,Cider,6,70,1,0,1
2021-03-08,Ale,0,37,0,0,0
2021-03-08,Lager,0,48,0,0,0
2021-03-08,IPA,0,48,0,0,0
2021-03-08,Stout,0,30,0,0,0
2021-03-08,Cider,0,29,0,0,0
2021-03-09,Ale,1,32,0,0,0
2021-03-09,Lager,1,51,0,0,0
2021-03-09,IPA,1,48,0,0,0
2021-03-09,Stout,1,26,0,0,0
2021-03-09,Cider,1,51,0,0,0
2021-03-10,Ale,2,40,0,0,0
2021-03-10,Lager,2,68,0,0,1
2021-03-10,IPA,2,45,0,0,0
2021-03-10,Stout,2,19,0,0,0
2021-03-10,Cider,2,38,0,0,0
2021-03-11,Ale,3,41,0,0,1
2021-03-11,Lager,3,63,0,0,0
2021-03-11,IPA,3,46,0,0,0
2021-03-11,Stout,3,30,0,0,0
2021-03-11,Cider,3,34,0,0,0
2021-03-12,Ale,4,35,0,0,0
2021-03-12,Lager,4,53,0,0,1
2021-03-12,IPA,4,50,0,0,0
2021-03-12,Stout,4,21,0,0,0
2021-03-12,Cider,4,32,0,0,0
2021-03-13,Ale,5,43,1,0,0
2021-03-13,Lager,5,74,1,0,0
2021-03-13,IPA,5,60,1,0,0
2021-03-13,Stout,5,30,1,0,0
2021-03-13,Cider,5,71,1,0,1
2021-03-14,Ale,6,40,1,0,0
2021-03-14,Lager,6,90,1,0,1
2021-03-14,IPA,6,58,1,0,0
2021-03-14,Stout,6,36,1,0,0
2021-03-14,Cider,6,52,1,0,0
2021-03-15,Ale,0,32,0,0,0
2021-03-15,Lager,0,63,0,0,0
2021-03-15,IPA,0,38,0,0,0
2021-03-15,Stout,0,32,0,0,0
2021-03-15,Cider,0,24,0,0,0
2021-03-16,Ale,1,25,0,0,0
2021-03-16,Lager,1,51,0,0,0
2021-03-16,IPA,1,56,0,0,1
2021-03-16,Stout,1,27,0,0,0
2021-03-16,Cider,1,35,0,0,0
2021-03-17,Ale,2,31,0,0,0
2021-03-17,Lager,2,49,0,0,0
2021-03-17,IPA,2,44,0,0,0
2021-03-17,Stout,2,25,0,0,0
2021-03-17,Cider,2,37,0,0,0
2021-03-18,Ale,3,29,0,0,0
2021-03-18,Lager,3,49,0,0,0
2021-03-18,IPA,3,45,0,0,0
2021-03-18,Stout,3,26,0,0,0
2021-03-18,Cider,3,34,0,0,0
2021-03-19,Ale,4,36,0,0,1
2021-03-19,Lager,4,42,0,0,0
2021-03-19,IPA,4,66,0,0,1
2021-03-19,Stout,4,18,0,0,0
2021-03-19,Cider,4,33,0,0,0
2021-03-20,Ale,5,47,1,0,0
2021-03-20,Lager,5,63,1,0,0
2021-03-20,IPA,5,52,1,0,0
2021-03-20,Stout,5,43,1,0,1
2021-03-20,Cider,5,57,1,0,0
2021-03-21,Ale,6,43,1,0,0
2021-03-21,Lager,6,81,1,0,0
2021-03-21,IPA,6,65,1,0,0
2021-03-21,Stout,6,28,1,0,0
2021-03-21,Cider,6,53,1,0,0
2021-03-22,Ale,0,23,0,0,0
2021-03-22,Lager,0,53,0,0,0
2021-03-22,IPA,0,41,0,0,0
2021-03-22,Stout,0,27,0,0,0
2021-03-22,Cider,0,45,0,0,0
2021-03-23,Ale,1,39,0,0,0
2021-03-23,Lager,1,49,0,0,0
2021-03-23,IPA,1,48,0,0,0
2021-03-23,Stout,1,23,0,0,0
2021-03-23,Cider,1,38,0,0,0
2021-03-24,Ale,2,23,0,0,0
2021-03-24,Lager,2,46,0,0,0
2021-03-24,IPA,2,46,0,0,0
2021-03-24,Stout,2,16,0,0,0
2021-03-24,Cider,2,38,0,0,0
2021-03-25,Ale,3,32,0,0,0
2021-03-25,Lager,3,53,0,0,0
2021-03-25,IPA,3,36,0,0,0
2021-03-25,Stout,3,16,0,0,0
2021-03-25,Cider,3,42,0,0,0
2021-03-26,Ale,4,32,0,0,0
2021-03-26,Lager,4,48,0,0,0
2021-03-26,IPA,4,36,0,0,0
2021-03-26,Stout,4,23,0,0,0
2021-03-26,Cider,4,32,0,0,0
2021-03-27,Ale,5,48,1,0,0
2021-03-27,Lager,5,63,1,0,0
2021-03-27,IPA,5,60,1,0,0
2021-03-27,Stout,5,49,1,0,1
2021-03-27,Cider,5,56,1,0,0
2021-03-28,Ale,6,41,1,0,0
2021-03-28,Lager,6,73,1,0,0
2021-03-28,IPA,6,65,1,0,0
2021-03-28,Stout,6,35,1,0,0
2021-03-28,Cider,6,55,1,0,0
2021-03-29,Ale,0,39,0,0,1
2021-03-29,Lager,0,71,0,0,1
2021-03-29,IPA,0,43,0,0,0
2021-03-29,Stout,0,18,0,0,0
2021-03-29,Cider,0,40,0,0,0
2021-03-30,Ale,1,26,0,0,0
2021-03-30,Lager,1,56,0,0,0
2021-03-30,IPA,1,46,0,0,0
2021-03-30,Stout,1,15,0,0,0
2021-03-30,Cider,1,42,0,0,0
2021-03-31,Ale,2,32,0,0,0
2021-03-31,Lager,2,53,0,0,0
2021-03-31,IPA,2,44,0,0,0
2021-03-31,Stout,2,38,0,0,1
2021-03-31,Cider,2,34,0,0,0
2021-04-01,Ale,3,37,0,0,0
2021-04-01,Lager,3,69,0,0,1
2021-04-01,IPA,3,37,0,0,0
2021-04-01,Stout,3,17,0,0,0
2021-04-01,Cider,3,37,0,0,0
2021-04-02,Ale,4,28,0,0,0
2021-04-02,Lager,4,42,0,0,0
2021-04-02,IPA,4,39,0,0,0
2021-04-02,Stout,4,25,0,0,0
2021-04-02,Cider,4,46,0,0,1
2021-04-03,Ale,5,70,1,0,1
2021-04-03,Lager,5,69,1,0,0
2021-04-03,IPA,5,88,1,0,1
2021-04-03,Stout,5,44,1,0,0
2021-04-03,Cider,5,52,1,0,0
2021-04-04,Ale,6,42,1,0,0
2021-04-04,Lager,6,70,1,0,0
2021-04-04,IPA,6,81,1,0,1
2021-04-04,Stout,6,45,1,0,1
2021-04-04,Cider,6,48,1,0,0
2021-04-05,Ale,0,34,0,0,0
2021-04-05,Lager,0,50,0,0,0
2021-04-05,IPA,0,57,0,0,0
2021-04-05,Stout,0,30,0,0,0
2021-04-05,Cider,0,37,0,0,0
2021-04-06,Ale,1,35,0,0,0
2021-04-06,Lager,1,70,0,0,1
2021-04-06,IPA,1,50,0,0,0
2021-04-06,Stout,1,17,0,0,0
2021-04-06,Cider,1,32,0,0,0
2021-04-07,Ale,2,28,0,0,0
2021-04-07,Lager,2,51,0,0,0
2021-04-07,IPA,2,28,0,0,0
2021-04-07,Stout,2,21,0,0,0
2021-04-07,Cider,2,45,0,0,0
2021-04-08,Ale,3,26,0,0,0
2021-04-08,Lager,3,53,0,0,0
2021-04-08,IPA,3,47,0,0,0
2021-04-08,Stout,3,35,0,0,1
2021-04-08,Cider,3,42,0,0,0
2021-04-09,Ale,4,37,0,0,0
2021-04-09,Lager,4,59,0,0,0
2021-04-09,IPA,4,43,0,0,0
2021-04-09,Stout,4,21,0,0,0
2021-04-09,Cider,4,41,0,0,0
2021-04-10,Ale,5,47,1,0,0
2021-04-10,Lager,5,76,1,0,0
2021-04-10,IPA,5,75,1,0,1
2021-04-10,Stout,5,40,1,0,0
2021-04-10,Cider,5,47,1,0,0
2021-04-11,Ale,6,46,1,0,0
2021-04-11,Lager,6,70,1,0,0
2021-04-11,IPA,6,88,1,0,1
2021-04-11,Stout,6,40,1,0,1
2021-04-11,Cider,6,55,1,0,0
2021-04-12,Ale,0,34,0,0,0
2021-04-12,Lager,0,50,0,0,0
2021-04-12,IPA,0,46,0,0,0
2021-04-12,Stout,0,23,0,0,0
2021-04-12,Cider,0,51,0,0,1
2021-04-13,Ale,1,44,0,0,1
2021-04-13,Lager,1,49,0,0,0
2021-04-13,IPA,1,44,0,0,0
2021-04-13,Stout,1,15,0,0,0
2021-04-13,Cider,1,30,0,0,0
2021-04-14,Ale,2,40,0,0,1
2021-04-14,Lager,2,45,0,0,0
2021-04-14,IPA,2,44,0,0,0
2021-04-14,Stout,2,31,0,0,0
2021-04-14,Cider,2,45,0,0,0
2021-04-15,Ale,3,41,0,0,1
2021-04-15,Lager,3,61,0,0,1
2021-04-15,IPA,3,39,0,0,0
2021-04-15,Stout,3,34,0,0,0
2021-04-15,Cider,3,55,0,0,1
2021-04-16,Ale,4,31,0,0,0
2021-04-16,Lager,4,52,0,0,0
2021-04-16,IPA,4,44,0,0,0
2021-04-16,Stout,4,36,0,0,1
2021-04-16,Cider,4,38,0,0,0
2021-04-17,Ale,5,62,1,0,1
2021-04-17,Lager,5,76,1,0,0
2021-04-17,IPA,5,58,1,0,0
2021-04-17,Stout,5,38,1,0,0
2021-04-17,Cider,5,77,1,0,1
2021-04-18,Ale,6,47,1,0,0
2021-04-18,Lager,6,74,1,0,0
2021-04-18,IPA,6,59,1,0,0
2021-04-18,Stout,6,32,1,0,0
2021-04-18,Cider,6,54,1,0,0
2021-04-19,Ale,0,29,0,0,0
2021-04-19,Lager,0,56,0,0,0
2021-04-19,IPA,0,44,0,0,0
2021-04-19,Stout,0,22,0,0,0
2021-04-19,Cider,0,44,0,0,0
2021-04-20,Ale,1,36,0,0,1
2021-04-20,Lager,1,51,0,0,0
2021-04-20,IPA,1,42,0,0,0
2021-04-20,Stout,1,38,0,0,0
2021-04-20,Cider,1,38,0,0,0
2021-04-21,Ale,2,28,0,0,0
2021-04-21,Lager,2,52,0,0,0
2021-04-21,IPA,2,44,0,0,0
2021-04-21,Stout,2,22,0,0,0
2021-04-21,Cider,2,43,0,0,0
2021-04-22,Ale,3,35,0,0,0
2021-04-22,Lager,3,53,0,0,0
2021-04-22,IPA,3,41,0,0,0
2021-04-22,Stout,3,35,0,0,0
2021-04-22,Cider,3,52,0,0,1
2021-04-23,Ale,4,29,0,0,0
2021-04-23,Lager,4,57,0,0,0
2021-04-23,IPA,4,46,0,0,0
2021-04-23,Stout,4,30,0,0,0
2021-04-23,Cider,4,41,0,0,0
2021-04-24,Ale,5,56,1,0,0
2021-04-24,Lager,5,67,1,0,0
2021-04-24,IPA,5,61,1,0,0
2021-04-24,Stout,5,51,1,0,0
2021-04-24,Cider,5,54,1,0,0
2021-04-25,Ale,6,39,1,0,0
2021-04-25,Lager,6,75,1,0,0
2021-04-25,IPA,6,69,1,0,0
2021-04-25,Stout,6,35,1,0,0
2021-04-25,Cider,6,45,1,0,0
2021-04-26,Ale,0,27,0,0,0
2021-04-26,Lager,0,59,0,0,1
2021-04-26,IPA,0,55,0,0,0
2021-04-26,Stout,0,17,0,0,0
2021-04-26,Cider,0,36,0,0,0
2021-04-27,Ale,1,44,0,0,1
2021-04-27,Lager,1,45,0,0,0
2021-04-27,IPA,1,47,0,0,0
2021-04-27,Stout,1,30,0,0,1
2021-04-27,Cider,1,40,0,0,0
2021-04-28,Ale,2,31,0,0,0
2021-04-28,Lager,2,51,0,0,0
2021-04-28,IPA,2,50,0,0,0
2021-04-28,Stout,2,20,0,0,0
2021-04-28,Cider,2,40,0,0,0
2021-04-29,Ale,3,46,0,0,1
2021-04-29,Lager,3,45,0,0,0
2021-04-29,IPA,3,37,0,0,0
2021-04-29,Stout,3,24,0,0,0
2021-04-29,Cider,3,28,0,0,0
2021-04-30,Ale,4,33,0,0,0
2021-04-30,Lager,4,55,0,0,0
2021-04-30,IPA,4,38,0,0,0
2021-04-30,Stout,4,30,0,0,0
2021-04-30,Cider,4,45,0,0,0
2021-05-01,Ale,5,45,1,0,0
2021-05-01,Lager,5,98,1,0,1
2021-05-01,IPA,5,60,1,0,0
2021-05-01,Stout,5,32,1,0,0
2021-05-01,Cider,5,52,1,0,0
2021-05-02,Ale,6,52,1,0,1
2021-05-02,Lager,6,67,1,0,0
2021-05-02,IPA,6,61,1,0,0
2021-05-02,Stout,6,46,1,0,1
2021-05-02,Cider,6,71,1,0,1
2021-05-03,Ale,0,20,0,0,0
2021-05-03,Lager,0,65,0,0,0
2021-05-03,IPA,0,39,0,0,0
2021-05-03,Stout,0,28,0,0,0
2021-05-03,Cider,0,50,0,0,1
2021-05-04,Ale,1,28,0,0,0
2021-05-04,Lager,1,68,0,0,1
2021-05-04,IPA,1,39,0,0,0
2021-05-04,Stout,1,32,0,0,1
2021-05-04,Cider,1,47,0,0,0
2021-05-05,Ale,2,38,0,0,1
2021-05-05,Lager,2,65,0,0,1
2021-05-05,IPA,2,38,0,0,0
2021-05-05,Stout,2,28,0,0,0
2021-05-05,Cider,2,33,0,0,0
2021-05-06,Ale,3,32,0,0,0
2021-05-06,Lager,3,70,0,0,1
2021-05-06,IPA,3,42,0,0,0
2021-05-06,Stout,3,28,0,0,0
2021-05-06,Cider,3,39,0,0,0
2021-05-07,Ale,4,36,0,0,0
2021-05-07,Lager,4,53,0,0,0
2021-05-07,IPA,4,50,0,0,0
2021-05-07,Stout,4,23,0,0,0
2021-05-07,Cider,4,31,0,0,0
2021-05-08,Ale,5,35,1,0,0
2021-05-08,Lager,5,62,1,0,0
2021-05-08,IPA,5,60,1,0,0
2021-05-08,Stout,5,36,1,0,0
2021-05-08,Cider,5,49,1,0,0
2021-05-09,Ale,6,32,1,0,0
2021-05-09,Lager,6,88,1,0,1
2021-05-09,IPA,6,59,1,0,0
2021-05-09,Stout,6,35,1,0,0
2021-05-09,Cider,6,60,1,0,0
2021-05-10,Ale,0,22,0,0,0
2021-05-10,Lager,0,53,0,0,0
2021-05-10,IPA,0,46,0,0,0
2021-05-10,Stout,0,31,0,0,1
2021-05-10,Cider,0,51,0,0,1
2021-05-11,Ale,1,30,0,0,0
2021-05-11,Lager,1,53,0,0,0
2021-05-11,IPA,1,39,0,0,0
2021-05-11,Stout,1,20,0,0,0
2021-05-11,Cider,1,28,0,0,0
2021-05-12,Ale,2,33,0,0,0
2021-05-12,Lager,2,47,0,0,0
2021-05-12,IPA,2,36,0,0,0
2021-05-12,Stout,2,20,0,0,0
2021-05-12,Cider,2,40,0,0,0
2021-05-13,Ale,3,32,0,0,0
2021-05-13,Lager,3,45,0,0,0
